2.000000
24 24 24
13.195611 30.312910 14.930670
-10.804389 6.312911 -9.069330
110.328479 2565.951243 705.633858
6580 4 10 11
0.715391 0.591906 0.371300 121.670998
7156 4 10 12
0.790321 0.606402 0.087572 129.820694
7732 4 10 13
0.778663 0.582740 -0.232591 127.109581
6028 4 11 10
0.789849 0.156424 0.593017 118.081223
6604 4 11 11
0.900902 0.119487 0.417250 134.022491
7180 4 11 12
0.986605 0.113865 0.116816 142.452423
7756 4 11 13
0.961742 0.141527 -0.234567 140.479721
8332 4 11 14
0.834877 0.178919 -0.520546 127.205406
8908 4 11 15
0.673213 0.207845 -0.709637 104.800049
6628 4 12 11
0.847389 -0.405855 0.342364 128.809311
8932 4 12 15
0.717251 -0.173459 -0.674880 105.476082
9508 4 12 16
0.556504 -0.099090 -0.824915 80.099113
10084 4 12 17
0.408415 -0.048480 -0.911508 54.455471
9532 4 13 16
0.545108 -0.390806 -0.741706 72.186981
10108 4 13 17
0.408440 -0.317150 -0.855916 49.636753
7157 5 10 12
0.576875 0.792956 0.196052 152.285294
7733 5 10 13
0.608565 0.752031 -0.253177 151.329147
5453 5 11 9
0.539334 0.310190 0.782879 116.780304
6029 5 11 10
0.537080 0.268860 0.799537 137.365234
6605 5 11 11
0.663520 0.231637 0.711397 155.342651
7181 5 11 12
0.909091 0.247523 0.335092 166.777084
7757 5 11 13
0.907616 0.270034 -0.321425 166.715027
8333 5 11 14
0.657907 0.256367 -0.708120 152.292969
8909 5 11 15
0.451363 0.241958 -0.858911 125.378456
5477 5 12 9
0.628841 -0.259523 0.732944 117.732628
6053 5 12 10
0.588659 -0.422829 0.688982 135.380066
6629 5 12 11
0.624228 -0.540785 0.563818 150.945190
8357 5 12 14
0.695865 -0.330178 -0.637773 151.170624
8933 5 12 15
0.492878 -0.177462 -0.851809 126.709427
9509 5 12 16
0.330351 -0.088802 -0.939672 94.926125
5501 5 13 9
0.569935 -0.650006 0.502659 104.711456
6077 5 13 10
0.507689 -0.740644 0.440111 118.430946
8381 5 13 14
0.606301 -0.659039 -0.445046 134.642059
9533 5 13 16
0.340557 -0.384343 -0.858080 86.514313
7877 5 16 13
0.667513 -0.739543 -0.086622 67.660858
7901 5 17 13
0.676175 -0.723216 -0.140519 49.985554
6030 6 11 10
0.074623 0.336300 0.938794 144.512711
6606 6 11 11
0.042579 0.259858 0.964708 162.765945
7182 6 11 12
0.292355 0.380148 0.877506 177.045288
7758 6 11 13
0.669572 0.559087 -0.488973 180.020004
4902 6 12 8
0.616353 -0.142624 0.774447 113.810448
5478 6 12 9
0.358068 -0.337999 0.870370 128.502762
6054 6 12 10
