2.000000
48 48 48
5.598407 7.624454 6.967957
-42.401592 -40.375546 -41.032043
106.865831 4116.595449 984.555810
42063 15 12 18
0.845931 0.397315 0.355727 59.356255
44367 15 12 19
0.902679 0.430253 0.007273 62.669746
46671 15 12 20
0.855792 0.394640 -0.334485 59.641251
42111 15 13 18
0.884496 0.199943 0.421532 64.499519
44415 15 13 19
0.965692 0.258661 0.023112 68.278473
42159 15 14 18
0.871586 0.029574 0.489350 66.319771
60927 15 21 26
0.864581 -0.007196 -0.502442 56.737740
63231 15 21 27
0.798737 0.065144 -0.598144 43.413586
42064 16 12 18
0.877772 0.331740 0.345638 74.663223
44368 16 12 19
0.931235 0.364304 0.009141 77.965584
48976 16 12 21
0.786412 0.288194 -0.546352 66.291931
42112 16 13 18
0.889349 0.125797 0.439584 78.474274
49024 16 13 21
0.771327 0.223061 -0.596069 70.875137
51328 16 13 22
0.714125 0.233796 -0.659822 59.147175
42160 16 14 18
0.818236 -0.028243 0.574188 79.096786
44464 16 14 19
0.978433 0.135482 0.155926 84.040359
49072 16 14 21
0.749031 0.287202 -0.597049 74.962944
51376 16 14 22
0.688567 0.305296 -0.657776 63.986847
42208 16 15 18
0.695869 -0.121573 0.707804 78.018150
44512 16 15 19
0.913394 0.113896 0.390818 85.411087
53728 16 15 23
0.616189 0.456546 -0.641776 58.932720
42256 16 16 18
0.579055 -0.221534 0.784614 75.399681
44560 16 16 19
0.793471 -0.010245 0.608522 86.122986
46864 16 16 20
0.942133 0.329005 0.064345 90.490913
53776 16 16 23
0.598059 0.561294 -0.572079 69.271568
56080 16 16 24
0.531039 0.560835 -0.635186 56.552998
44608 16 17 19
0.662705 -0.213570 0.717781 84.431931
46912 16 17 20
0.918441 0.080970 0.387181 93.311813
56128 16 17 24
0.543817 0.595897 -0.590905 69.512672
58432 16 17 25
0.461056 0.573939 -0.676773 54.859074
44656 16 18 19
0.548186 -0.386887 0.741492 78.568924
46960 16 18 20
0.780350 -0.215238 0.587134 92.031570
49264 16 18 21
0.964750 0.104247 0.241641 99.539604
56176 16 18 24
0.625745 0.554378 -0.548733 83.519333
58480 16 18 25
0.514987 0.543768 -0.662649 68.310768
49312 16 19 21
0.852430 -0.211371 0.478210 98.265923
51616 16 19 22
0.986535 0.070548 0.147551 104.902794
58528 16 19 25
0.627810 0.442112 -0.640618 81.125343
51664 16 20 22
0.902010 -0.244349 0.355910 102.704971
58576 16 20 25
0.775683 0.252213 -0.578537 90.444695
51377 17 14 22
0.729625 0.216066 -0.648816 76.329880
44513 17 15 19
0.781514 0.003923 0.623875 92.757881
53729 17 15 23
0.607732 0.421994 -0.672742 70.301041
44561 17 16 19
0.411793 -0.015574 0.911144 92.907898
46865 17 16 20
0.674508 0.660442 0.329931 98.255028
53777 17 16 23
0.485506 0.607533 -0.628639 80.033279
44609 17 17 19
0.247787 -0.222276 0.942971 91.532082
46913 17 17 20
0.486007 0.246520 0.838466 101.728371
49217 17 17 21
0.600079 0.799919 -0.005917 105.205879
53825 17 17 23
0.416204 0.715716 -0.560826 93.137436
56129 17 17 24
0.386877 0.652763 -0.651327 80.102509
58433 17 17 25
0.361107 0.591521 -0.720905 64.126602
44657 17 18 19
0.194891 -0.403609 0.893934 86.186127
46961 17 18 20
0.328927 -0.217067 0.919070 101.428589
49265 17 18 21
0.669130 0.362094 0.648962 110.740654
51569 17 18 22
0.611201 0.776777 -0.151826 112.677101
56177 17 18 24
0.384229 0.678674 -0.625915 95.603821
58481 17 18 25
0.345031 0.613593 -0.710251 79.070328
47009 17 19 20
0.258167 -0.428643 0.865803 95.458572
49313 17 19 21
0.474831 -0.225632 0.850662 110.813774
51617 17 19 22
0.837548 0.338997 0.428479 119.204353
53921 17 19 23
0.679774 0.656907 -0.326159 119.056656
56225 17 19 24
0.490929 0.626036 -0.605862 110.309044
58529 17 19 25
0.405041 0.574797 -0.711020 94.571709
49361 17 20 21
0.363237 -0.449077 0.816326 104.170380
51665 17 20 22
0.652033 -0.286612 0.701931 118.781212
53969 17 20 23
0.986619 0.143371 0.077640 124.692497
56273 17 20 24
0.745265 0.403939 -0.530484 120.543282
58577 17 20 25
0.558148 0.443811 -0.701072 107.475067
51713 17 21 22
0.503282 -0.514809 0.694031 110.599030
54017 17 21 23
0.820810 -0.416261 0.391149 122.028336
56321 17 21 24
0.963190 -0.098744 -0.250029 123.274872
54065 17 22 23
0.655736 -0.594886 0.464888 111.241936
56369 17 22 24
0.876858 -0.477251 0.057899 117.432861
58673 17 22 25
0.904865 -0.216074 -0.366786 113.836533
44274 18 10 19
0.682547 0.730786 0.009030 93.061501
46578 18 10 20
0.665858 0.712399 -0.221633 90.432030
48882 18 10 21
0.625949 0.656593 -0.420801 82.245834
44322 18 11 19
0.900606 0.433048 -0.037120 107.164284
46626 18 11 20
0.863399 0.411885 -0.291365 103.736404
48930 18 11 21
0.784496 0.389443 -0.482597 95.146461
35154 18 12 15
0.832176 0.228116 0.505417 86.115669
37458 18 12 16
0.911487 0.172109 0.373591 98.449898
35202 18 13 15
0.891446 -0.023263 0.452528 88.992050
44610 18 17 19
-0.053009 -0.280741 0.958319 92.480957
46914 18 17 20
-0.142298 0.156072 0.977442 102.741600
44658 18 18 19
-0.060485 -0.410182 0.909996 87.115341
46962 18 18 20
-0.162784 -0.207713 0.964550 102.154724
49314 18 19 21
-0.192240 -0.192624 0.962258 112.536980
51618 18 19 22
-0.269439 0.535138 0.800643 122.037567
49362 18 20 21
-0.097435 -0.417846 0.903278 106.861526
51666 18 20 22
-0.151131 -0.242714 0.958253 122.509552
53970 18 20 23
-0.071667 0.740415 0.668319 130.055923
56274 18 20 24
0.225136 0.752182 -0.619302 127.906921
51714 18 21 22
-0.026652 -0.496615 0.867562 115.920494
54018 18 21 23
0.079082 -0.491492 0.867284 129.178085
56322 18 21 24
0.882811 0.201501 -0.424314 132.679230
58626 18 21 25
0.488204 0.432541 -0.758001 126.250664
60930 18 21 26
0.464665 0.473869 -0.748020 112.364616
63234 18 21 27
0.488599 0.512964 -0.705790 94.875816
65538 18 21 28
0.521660 0.550679 -0.651631 77.203590
67842 18 21 29
0.547132 0.579552 -0.603958 61.187572
51762 18 22 22
0.072621 -0.581989 0.809948 103.338341
54066 18 22 23
0.170005 -0.652495 0.738477 120.592117
56370 18 22 24
0.569746 -0.723358 0.390056 129.371368
58674 18 22 25
0.849849 -0.162090 -0.501482 128.471817
60978 18 22 26
0.711664 0.188232 -0.676833 119.369072
65586 18 22 28
0.684917 0.378611 -0.622529 89.435722
67890 18 22 29
0.696215 0.417567 -0.583886 73.961441
54114 18 23 23
0.263808 -0.668715 0.695144 106.559578
56418 18 23 24
0.488700 -0.733032 0.473114 118.967468
58722 18 23 25
0.811214 -0.584599 -0.013265 123.032364
61026 18 23 26
0.883966 -0.218683 -0.413257 119.027260
63330 18 23 27
0.846590 0.012512 -0.532098 109.064865
56466 18 24 24
0.544234 -0.677797 0.494368 104.784142
58770 18 24 25
0.752493 -0.633119 0.181424 111.990707
61074 18 24 26
0.883687 -0.443198 -0.150574 112.128792
63378 18 24 27
0.905757 -0.241121 -0.348517 106.139786
58818 18 25 25
0.787240 -0.571759 0.230966 98.968147
61122 18 25 26
0.870959 -0.490897 -0.021214 101.272545
63426 18 25 27
0.905525 -0.368693 -0.209976 98.166481
54354 18 28 23
0.903980 0.125576 0.408718 70.941795
54402 18 29 23
0.922540 0.098617 0.373089 73.751633
56706 18 29 24
0.994659 0.093016 0.044742 78.823181
44275 19 10 19
0.445166 0.893879 -0.052991 107.658272
46579 19 10 20
0.397816 0.876602 -0.270761 103.808891
48883 19 10 21
0.363693 0.813117 -0.454498 95.034744
51187 19 10 22
0.347811 0.736652 -0.579975 81.998528
44323 19 11 19
0.793386 0.590303 -0.148593 124.027191
46627 19 11 20
0.713868 0.577024 -0.396783 119.315460
48931 19 11 21
0.614652 0.550116 -0.565309 110.452515
51235 19 11 22
0.538802 0.524570 -0.659180 97.547005
35155 19 12 15
0.735807 0.304545 0.604847 108.885208
37459 19 12 16
0.891828 0.219217 0.395712 121.975815
35203 19 13 15
0.851969 -0.028732 0.522804 112.591583
37507 19 13 16
0.943617 -0.220558 0.246863 121.841385
35251 19 14 15
0.882895 -0.299938 0.361294 108.347595
35299 19 15 15
0.862787 -0.465036 0.198345 99.100281
35347 19 16 15
0.819718 -0.566237 0.086242 87.089615
35395 19 17 15
0.766374 -0.641130 0.040286 73.336388
35443 19 18 15
0.715869 -0.696672 0.046683 58.516918
37747 19 18 16
0.631962 -0.768589 0.099476 59.538124
37795 19 19 16
0.612436 -0.769233 0.182217 45.807262
51667 19 20 22
-0.528668 -0.211389 0.822086 116.970085
51715 19 21 22
-0.384107 -0.406913 0.828785 111.138268
54019 19 21 23
-0.558999 -0.284603 0.778795 125.174126
56323 19 21 24
-0.868330 0.257592 0.423850 131.662415
58627 19 21 25
0.047185 0.718729 -0.693687 129.490463
65539 19 21 28
0.384006 0.668696 -0.636699 88.968109
67843 19 21 29
0.387125 0.698875 -0.601422 73.091919
51763 19 22 22
-0.244587 -0.494991 0.833763 100.885895
