2.000000
36 36 36
49.704611 54.128313 43.082168
13.704611 18.128313 7.082168
22.575990 510.642690 155.777428
21250 10 14 16
0.965141 0.207877 -0.159030 16.137093
17470 10 17 13
0.986724 -0.003365 0.162368 17.623600
17506 10 18 13
0.984836 -0.054987 0.164543 17.444809
18802 10 18 14
0.998139 -0.059350 -0.014020 17.877499
16354 10 22 12
0.814195 -0.355365 0.459133 11.364000
24202 10 24 18
0.892840 -0.363045 -0.266523 8.648468
25498 10 24 19
0.885191 -0.381212 -0.266674 7.523639
26219 11 8 20
0.768066 0.265631 -0.582679 8.344809
24959 11 9 19
0.891170 0.178778 -0.416958 11.271375
21179 11 12 16
0.929455 0.353876 -0.104337 18.265934
18659 11 14 14
0.958946 0.264883 0.101294 22.373568
22583 11 15 17
0.946786 0.165251 -0.276202 21.668795
18731 11 16 14
0.998239 0.038309 0.045291 23.943190
22619 11 16 17
0.974672 0.044187 -0.219233 22.271107
23915 11 16 18
0.948312 0.114307 -0.296036 20.804199
20063 11 17 15
0.993212 -0.060221 -0.099518 23.702707
21359 11 17 16
0.985975 -0.087831 -0.141914 23.029015
25247 11 17 19
0.947058 0.066143 -0.314176 19.559294
26579 11 18 20
0.927101 0.027862 -0.373774 17.827131
27875 11 18 21
0.848887 0.094151 -0.520122 15.234312
20135 11 19 15
0.979747 -0.104446 -0.170842 22.731503
16319 11 21 12
0.772783 -0.322735 0.546488 17.744818
18911 11 21 14
0.969547 -0.234173 0.071712 21.522223
20243 11 22 15
0.961949 -0.262881 -0.074477 20.046616
24203 11 24 18
0.851596 -0.435919 -0.291135 12.838326
24816 12 5 19
0.376601 0.913302 -0.155085 5.914999
22368 12 9 17
0.854393 0.513172 0.081649 17.163404
19884 12 12 15
0.865225 0.495672 0.075463 23.501869
13440 12 13 10
0.574943 0.446783 0.685438 15.731605
14736 12 13 11
0.668332 0.486337 0.562858 19.297497
17328 12 13 13
0.818105 0.488966 0.302682 24.227310
18624 12 13 14
0.875142 0.456332 0.160898 25.478626
12180 12 14 9
0.501341 0.225460 0.835359 13.388948
14772 12 14 11
0.718612 0.318977 0.617940 21.581785
