2.000000
48 48 48
19.601955 -37.954796 33.650698
-28.398045 -85.954796 -14.349302
156.732801 4659.704881 1139.821330
58144 16 11 25
0.953840 0.281161 0.105539 78.751320
46720 16 13 20
0.822798 0.478149 0.307210 63.304760
47200 16 23 20
0.870212 0.197830 0.451214 66.729202
47248 16 24 20
0.785696 0.045961 0.616904 69.581192
49552 16 24 21
0.948494 0.210961 0.236335 78.684029
51856 16 24 22
0.912754 0.341368 -0.224382 78.582024
51904 16 25 22
0.988150 0.136787 -0.069640 83.726807
54256 16 26 23
0.967105 0.067878 -0.245152 82.097069
52000 16 27 22
0.959529 -0.193605 0.204504 80.198097
70528 16 29 30
0.985089 -0.046948 0.165519 79.850899
72880 16 30 31
0.912410 -0.392092 -0.117357 74.850189
75184 16 30 32
0.814571 -0.380194 -0.438095 67.496674
62705 17 10 27
0.855302 0.476540 -0.203389 100.683121
44561 17 16 19
0.940891 0.143506 0.306807 133.462646
44609 17 17 19
0.972423 -0.139919 0.186589 133.539474
49265 17 18 21
0.931692 -0.326463 -0.159285 117.397575
49505 17 23 21
0.978865 0.167119 0.117874 92.863350
51905 17 25 22
0.966404 0.254058 -0.038959 101.019112
54257 17 26 23
0.925722 0.274418 -0.260257 102.672798
56561 17 26 24
0.800384 0.396474 -0.449659 94.505180
52097 17 29 22
0.977743 0.006344 0.209710 101.803596
72881 17 30 31
0.767653 -0.597141 -0.232660 98.035568
79793 17 30 34
0.341559 -0.326419 -0.881356 45.712769
65010 18 10 28
0.668689 0.538128 -0.513101 119.337112
60450 18 11 26
0.911244 0.408174 -0.055041 165.667450
53586 18 12 23
0.788098 0.482877 0.381748 153.108994
55890 18 12 24
0.891298 0.339657 0.300368 167.116257
58194 18 12 25
0.981475 0.160845 0.104091 175.176376
60498 18 12 26
0.983448 -0.004336 -0.181138 173.825272
53634 18 13 23
0.927669 0.305389 0.214867 168.882599
55938 18 13 24
0.995328 0.040512 0.087639 174.377655
49074 18 14 21
0.857784 0.452652 0.243542 168.121643
51378 18 14 22
0.959110 0.270724 0.082565 174.108185
53682 18 14 23
0.998476 0.015364 -0.053010 174.534164
55986 18 14 24
0.962652 -0.218438 -0.159956 170.839325
46818 18 15 20
0.875591 0.351402 0.331447 173.022873
49122 18 15 21
0.984382 0.166128 0.058254 179.821625
51426 18 15 22
0.988465 -0.039054 -0.146331 178.016571
44562 18 16 19
0.833509 0.195696 0.516688 168.246414
46866 18 16 20
0.986145 0.000586 0.165882 179.405045
49170 18 16 21
0.978929 -0.163739 -0.122018 179.624771
51474 18 16 22
0.937943 -0.238226 -0.252016 172.629807
40002 18 17 17
0.492745 0.089298 0.865580 122.434395
42306 18 17 18
0.704792 -0.026005 0.708937 150.813126
44610 18 17 19
0.906361 -0.204275 0.369841 168.293640
60738 18 17 26
0.887581 -0.131551 -0.441468 118.964462
40050 18 18 17
0.538500 -0.237096 0.808581 119.789970
42354 18 18 18
0.724862 -0.378698 0.575468 143.859818
40098 18 19 17
0.547158 -0.463836 0.696760 106.957268
56226 18 19 24
0.944007 -0.257719 -0.205989 129.296722
49506 18 23 21
0.972358 -0.190615 0.134855 112.131645
49554 18 24 21
0.878083 -0.185264 0.441189 109.097374
49602 18 25 21
0.625650 -0.118343 0.771076 107.042122
49650 18 26 21
0.541639 -0.014604 0.840485 106.005501
51954 18 26 22
0.830266 0.333171 0.446827 116.129929
58914 18 27 25
0.824360 0.506274 -0.253214 115.971130
61218 18 27 26
0.868478 0.484028 -0.107066 111.129219
54354 18 28 23
0.970803 0.219286 0.097240 129.751816
61266 18 28 26
0.956641 0.275791 -0.093692 121.672401
70482 18 28 30
0.994462 0.037378 0.098226 141.278000
72786 18 28 31
0.928146 0.040337 -0.370024 137.986725
75090 18 28 32
0.667274 0.055027 -0.742777 120.873520
54402 18 29 23
0.995028 0.092267 0.037496 133.055695
72834 18 29 31
0.770644 -0.494049 -0.402522 132.418915
75138 18 29 32
0.520753 -0.375685 -0.766601 116.261856
70578 18 30 30
0.658102 -0.746291 -0.099757 121.018539
72882 18 30 31
0.465055 -0.803550 -0.371525 115.012749
75186 18 30 32
0.310341 -0.691597 -0.652213 100.128433
49890 18 31 21
0.978553 -0.122950 0.165280 128.390274
52194 18 31 22
0.970313 -0.240536 -0.025208 130.427338
49938 18 32 21
0.888495 -0.454766 0.061359 118.233177
63762 18 32 27
0.877380 -0.406145 -0.255442 110.853821
63810 18 33 27
0.750446 -0.605077 -0.265920 96.227119
63858 18 34 27
0.605445 -0.760767 -0.233815 76.186478
65011 19 10 28
0.389155 0.681158 -0.620147 142.104691
58147 19 11 25
0.659324 0.673880 0.333433 189.966492
60451 19 11 26
0.737696 0.670722 -0.077048 194.153488
62755 19 11 27
0.660747 0.504407 -0.555866 185.151306
65059 19 11 28
0.511324 0.319181 -0.797917 162.182724
55891 19 12 24
0.699564 0.491790 0.518413 193.126907
58195 19 12 25
0.920195 0.265163 0.287976 202.356018
60499 19 12 26
0.955961 -0.030294 -0.291927 202.464783
62803 19 12 27
0.726337 -0.142536 -0.672397 190.296631
65107 19 12 28
0.554873 -0.141564 -0.819802 165.115311
46723 19 13 20
0.582451 0.656977 0.478677 156.242706
55939 19 13 24
0.969805 0.038539 0.240816 199.266769
58243 19 13 25
0.886158 -0.450835 -0.107107 200.379288
60547 19 13 26
0.726416 -0.554453 -0.406082 194.521729
65155 19 13 28
0.542490 -0.397933 -0.739834 153.531769
49075 19 14 21
0.722970 0.608485 0.327201 194.541931
51379 19 14 22
0.880937 0.464058 0.092733 199.580078
53683 19 14 23
0.987961 0.041552 -0.149016 199.135300
55987 19 14 24
0.854372 -0.428292 -0.294303 195.373322
65203 19 14 28
0.551989 -0.451070 -0.701316 135.464645
44515 19 15 19
0.430988 0.456547 0.778341 177.115891
46819 19 15 20
0.684794 0.436802 0.583319 197.044937
49123 19 15 21
0.956765 0.252762 0.143920 204.951706
44563 19 16 19
0.416709 0.199073 0.886974 187.189804
46867 19 16 20
0.846016 -0.074129 0.527979 201.501587
49171 19 16 21
0.941620 -0.314648 -0.119782 204.184555
40003 19 17 17
0.074294 0.099813 0.992229 133.127457
42307 19 17 18
0.177689 -0.024959 0.983770 165.155487
44611 19 17 19
0.457252 -0.317493 0.830734 186.463821
60739 19 17 26
0.759948 -0.124524 -0.637944 147.392120
63043 19 17 27
0.640290 -0.188907 -0.744542 125.701660
65347 19 17 28
0.540297 -0.225537 -0.810686 99.519600
40051 19 18 17
0.121467 -0.202704 0.971677 131.501312
42355 19 18 18
0.256863 -0.399936 0.879814 159.366013
44659 19 18 19
0.522350 -0.624028 0.581153 176.748459
56179 19 18 24
0.944473 -0.118589 -0.306442 173.084229
58483 19 18 25
0.857201 -0.163486 -0.488343 160.737381
60787 19 18 26
0.727072 -0.228882 -0.647286 142.210693
40099 19 19 17
0.228689 -0.433666 0.871570 120.647858
56227 19 19 24
0.899968 -0.300635 -0.315716 166.258362
60835 19 19 26
0.679358 -0.394098 -0.618999 131.114822
44851 19 22 19
0.637138 -0.443562 0.630323 118.335190
44899 19 23 19
0.524998 -0.476323 0.705332 103.660843
47203 19 23 20
0.659986 -0.526147 0.536273 121.769394
70339 19 25 30
0.822238 0.566088 -0.058902 130.679901
51955 19 26 22
0.597811 0.635558 0.488557 123.504105
72691 19 26 31
0.764908 0.502406 -0.403118 144.019409
54307 19 27 23
0.589242 0.802361 0.094919 134.968002
61219 19 27 26
0.781333 0.617729 0.089049 132.465408
54355 19 28 23
0.761985 0.627958 0.158263 144.028976
61267 19 28 26
0.901707 0.429109 0.052812 144.250977
70483 19 28 30
0.958381 -0.285488 -0.001310 164.978531
72787 19 28 31
0.722162 -0.277098 -0.633797 158.550323
56707 19 29 24
0.959280 0.280816 -0.030393 150.479370
59011 19 29 25
0.973748 0.227410 -0.010028 150.214691
75139 19 29 32
0.213411 -0.553161 -0.805276 126.991760
49843 19 30 21
0.891548 0.363730 0.269893 153.073227
52147 19 30 22
0.975712 0.215615 -0.038670 155.512161
61363 19 30 26
0.994149 -0.082002 -0.070303 150.820587
47587 19 31 20
0.914721 0.049105 0.401091 149.713806
49891 19 31 21
0.988243 -0.136264 0.069335 156.244415
52195 19 31 22
0.911965 -0.342824 -0.225371 154.346909
54499 19 31 23
0.841967 -0.480882 -0.244632 149.581985
63715 19 31 27
0.857335 -0.383377 -0.343509 142.536743
43027 19 32 18
0.783578 -0.070373 0.617295 110.991600
47635 19 32 20
0.871566 -0.436302 0.223636 143.560837
49939 19 32 21
0.794142 -0.604318 -0.064330 145.904526
54547 19 32 23
0.643517 -0.748896 -0.158243 136.249115
56851 19 32 24
0.679437 -0.733104 0.030397 134.679031
59155 19 32 25
0.743931 -0.659589 0.107278 136.616714
61459 19 32 26
0.790738 -0.606824 -0.080609 137.373398
63763 19 32 27
0.709259 -0.579808 -0.400966 131.871109
66067 19 32 28
0.532172 -0.604248 -0.593024 118.919930
59203 19 33 25
0.589510 -0.795010 0.142960 118.376678
61507 19 33 26
0.614163 -0.787993 -0.043247 120.259567
63811 19 33 27
0.554301 -0.747381 -0.366295 114.764214
63859 19 34 27
0.433956 -0.849153 -0.301032 91.399773
46388 20 6 20
0.362037 0.794950 0.486810 54.163364
46436 20 7 20
0.498688 0.626621 0.598879 71.046005
48740 20 7 21
0.593445 0.722982 0.353723 83.220901
46484 20 8 20
0.615255 0.452311 0.645660 84.647949
48788 20 8 21
0.717993 0.516349 0.466766 99.709656
58052 20 9 25
0.338868 0.940807 0.007114 147.339767
58100 20 10 25
0.279187 0.939128 0.200231 178.725754
65012 20 10 28
0.012528 0.748906 -0.662558 150.100510
67316 20 10 29
0.016263 0.590112 -0.807158 119.902229
60452 20 11 26
0.038892 0.988486 -0.146229 203.615463
62756 20 11 27
0.030557 0.700922 -0.712583 194.800018
65060 20 11 28
0.058667 0.439359 -0.896394 172.357147
67364 20 11 29
0.078293 0.294697 -0.952378 138.349045
55940 20 13 24
-0.646181 -0.064658 0.760440 204.930832
58244 20 13 25
-0.314840 -0.948741 -0.027682 206.378723
46868 20 16 20
-0.200783 -0.313983 0.927955 206.161865
62996 20 16 27
0.409827 -0.322218 -0.853357 147.809326
65300 20 16 28
0.372108 -0.334097 -0.865976 123.386078
40004 20 17 17
-0.306732 0.078204 0.948578 128.299194
42308 20 17 18
-0.374573 -0.036464 0.926480 161.273666
56132 20 17 24
