2.000000
36 36 36
13.296283 -0.301227 3.803596
-22.703718 -36.301228 -32.196404
104.284594 2936.185311 657.343842
16496 8 26 12
0.993490 0.113359 -0.011251 64.940773
17792 8 26 13
0.925453 0.173112 -0.336999 60.752014
17828 8 27 13
0.933809 -0.230979 -0.273220 60.074268
15201 9 26 11
0.940067 0.019557 0.340429 84.029434
16497 9 26 12
0.986913 0.156553 -0.038640 87.693634
17793 9 26 13
0.867768 0.239038 -0.435705 82.126732
16533 9 27 12
0.900171 -0.427508 0.083243 84.426178
17829 9 27 13
0.884633 -0.308616 -0.349545 81.411674
33166 10 21 25
0.943673 -0.247278 -0.219853 79.111435
15166 10 25 11
0.771034 0.618917 0.149828 96.564194
13906 10 26 10
0.767139 -0.182510 0.614970 92.456909
15202 10 26 11
0.911571 -0.032144 0.409884 103.384590
16498 10 26 12
0.972523 0.213157 -0.093609 106.485542
16534 10 27 12
0.760032 -0.639373 0.116420 102.068405
17830 10 27 13
0.766807 -0.452632 -0.455116 98.941574
17866 10 28 13
0.501682 -0.838909 -0.211061 83.991173
19162 10 28 14
0.475456 -0.658625 -0.583227 73.972031
29243 11 20 22
0.993861 -0.033596 -0.105407 108.556267
30539 11 20 23
0.943439 0.203491 -0.261751 105.758507
31835 11 20 24
0.882840 0.354012 -0.308657 101.461876
29279 11 21 22
0.695369 -0.712021 0.097404 100.802887
30575 11 21 23
0.742383 -0.668863 -0.038591 101.422165
31871 11 21 24
0.801596 -0.574799 -0.164468 99.747864
33167 11 21 25
0.855208 -0.456120 -0.246117 96.542465
34463 11 21 26
0.873970 -0.366555 -0.319082 91.897705
31907 11 22 24
0.480015 -0.876967 -0.022702 84.671562
13907 11 26 10
0.617342 -0.393153 0.681410 106.916756
15203 11 26 11
0.800641 -0.228367 0.553916 116.001060
13943 11 27 10
0.295613 -0.768662 0.567249 92.948753
19127 11 27 14
0.380828 -0.314064 -0.869674 96.277611
17867 11 28 13
0.232891 -0.955051 -0.183408 92.862595
19163 11 28 14
0.259866 -0.757843 -0.598451 83.116211
22692 12 18 17
0.987017 0.158357 0.026841 128.693359
22728 12 19 17
0.969362 -0.225880 0.096517 128.186005
24024 12 19 18
0.983576 -0.180406 0.005732 129.485596
25320 12 19 19
0.991927 -0.044164 -0.118873 128.562271
26616 12 19 20
0.919758 0.236626 -0.313136 125.559624
27912 12 19 21
0.682686 0.546475 -0.485083 120.452881
24060 12 20 18
0.763452 -0.638770 0.095466 119.209808
25356 12 20 19
0.729129 -0.679617 0.080568 121.289703
26652 12 20 20
0.729768 -0.683538 0.014641 122.292084
27948 12 20 21
0.779201 -0.592575 -0.204208 121.480370
29244 12 20 22
0.763849 -0.197893 -0.614307 118.532394
30540 12 20 23
0.586892 0.340072 -0.734785 114.167641
31836 12 20 24
0.605139 0.598727 -0.524722 109.950180
27984 12 21 21
0.382602 -0.916718 0.115081 109.260429
29280 12 21 22
0.339123 -0.940742 0.000049 110.410912
30576 12 21 23
0.310124 -0.940803 -0.136795 109.478363
31872 12 21 24
0.350752 -0.913506 -0.206104 107.499260
34464 12 21 26
0.617910 -0.743309 -0.256281 103.209045
35760 12 21 27
0.637298 -0.643464 -0.424034 98.645660
37056 12 21 28
0.575681 -0.558904 -0.596840 89.341148
38352 12 21 29
0.494987 -0.493352 -0.715257 74.410423
35796 12 22 27
0.323533 -0.887338 -0.328568 83.648071
37092 12 22 28
0.337225 -0.789962 -0.512093 74.061592
12576 12 25 9
0.684286 0.114963 0.720095 108.575012
13872 12 25 10
0.639698 0.640972 0.424194 115.856277
12612 12 26 9
0.328952 -0.655935 0.679367 102.509972
13908 12 26 10
0.197277 -0.740899 0.641989 113.799187
15204 12 26 11
0.006153 -0.741718 0.670684 120.260445
19092 12 26 14
0.241448 0.268504 -0.932528 103.039383
17832 12 27 13
0.052549 -0.878460 -0.474918 113.637535
19128 12 27 14
0.157532 -0.424606 -0.891568 101.794556
14665 13 11 11
0.482388 0.720524 0.498143 69.563629
15961 13 11 12
0.551156 0.746574 0.372632 78.361984
17257 13 11 13
0.585014 0.795905 0.155865 84.037025
18589 13 12 14
0.795441 0.593411 0.123029 102.918892
18625 13 13 14
0.914978 0.268209 0.301462 112.591698
10885 13 14 8
0.977134 0.212180 0.013744 80.255791
10921 13 15 8
0.990224 -0.130035 0.050470 80.661659
12217 13 15 9
0.991795 -0.030921 0.124040 81.913033
16177 13 17 12
0.814701 0.099095 0.571351 108.627892
17473 13 17 13
0.821217 0.182355 0.540694 121.739166
18769 13 17 14
0.853591 0.261352 0.450641 133.154129
20065 13 17 15
0.897391 0.330047 0.292845 141.127716
38209 13 17 29
0.811600 0.323261 -0.486628 103.123405
39505 13 17 30
0.600242 0.262513 -0.755510 87.265564
18805 13 18 14
0.849844 -0.033961 0.525939 135.979218
20101 13 18 15
0.928770 0.051719 0.367030 145.340347
21397 13 18 16
0.984810 0.140341 0.102247 149.554398
22693 13 18 17
0.944342 0.226530 -0.238542 148.724899
23989 13 18 18
0.772650 0.315906 -0.550650 143.983276
25285 13 18 19
0.543933 0.407935 -0.733298 136.651764
20137 13 19 15
0.846166 -0.372824 0.380797 141.915146
21433 13 19 16
0.897446 -0.415956 0.146872 147.268906
22729 13 19 17
0.874148 -0.463880 -0.143806 147.429184
24025 13 19 18
0.761147 -0.456937 -0.460287 143.999329
25321 13 19 19
0.533505 -0.261056 -0.804501 138.578476
21469 13 20 16
0.705305 -0.700796 0.106908 134.880600
22765 13 20 17
0.611226 -0.790084 -0.046579 135.477249
24061 13 20 18
0.484179 -0.865501 -0.128368 133.600922
25357 13 20 19
0.346461 -0.920164 -0.182382 131.044800
26653 13 20 20
0.191460 -0.929955 -0.313890 128.201447
27949 13 20 21
-0.022779 -0.759578 -0.650017 124.526085
37057 13 21 28
0.178633 -0.803941 -0.567246 96.993477
38353 13 21 29
0.179722 -0.673717 -0.716802 82.741669
12577 13 25 9
0.329263 -0.296464 0.896490 114.984650
13873 13 25 10
-0.758887 0.649639 -0.045389 117.466316
12613 13 26 9
-0.066118 -0.873099 0.483038 105.307961
13909 13 26 10
-0.381361 -0.856878 0.346879 112.268219
17833 13 27 13
-0.307750 -0.921541 -0.236754 111.774529
19129 13 27 14
-0.040025 -0.554119 -0.831475 102.869835
19165 13 28 14
-0.070398 -0.875979 -0.477184 86.872192
15962 14 11 12
-0.094821 0.879895 0.465612 83.215622
17258 14 11 13
-0.044295 0.969235 0.242120 90.380592
6926 14 12 5
0.638708 0.750942 0.167747 72.995674
13406 14 12 10
-0.064407 0.823856 0.563127 76.416168
15998 14 12 12
-0.046721 0.658780 0.750884 96.613686
17294 14 12 13
0.021286 0.812209 0.582978 106.617500
18590 14 12 14
0.104115 0.953734 0.282049 113.342850
19886 14 12 15
0.171785 0.983282 0.060392 116.244751
6962 14 13 5
0.791224 0.577963 0.199808 87.405693
12146 14 13 9
0.183137 0.977351 0.106044 82.185699
13442 14 13 10
0.065010 0.795748 0.602129 85.193153
16034 14 13 12
0.091937 0.320529 0.942766 103.077095
17330 14 13 13
0.159635 0.385431 0.908823 114.710121
18626 14 13 14
0.264359 0.617092 0.741155 124.852921
19922 14 13 15
0.356315 0.830733 0.427694 132.066986
21218 14 13 16
0.408228 0.895623 0.176659 136.258072
22514 14 13 17
0.459851 0.886974 0.042595 138.046600
6998 14 14 5
0.927478 0.334188 0.167640 95.848747
10886 14 14 8
0.728548 0.602995 -0.324984 90.168144
12182 14 14 9
0.550423 0.834861 0.006418 88.893860
19958 14 14 15
0.469713 0.362126 0.805130 138.967957
21254 14 14 16
0.657489 0.515159 0.549836 145.642700
22550 14 14 17
0.796560 0.569004 0.204269 149.199966
23846 14 14 18
0.860791 0.501558 -0.086472 149.693588
25142 14 14 19
0.884925 0.376286 -0.274438 147.454895
26438 14 14 20
0.891807 0.245788 -0.379826 143.094391
27734 14 14 21
0.888514 0.142739 -0.436083 137.307556
29030 14 14 22
0.876134 0.093171 -0.472978 130.596588
30326 14 14 23
0.853323 0.123542 -0.506534 123.164032
31622 14 14 24
0.809586 0.253208 -0.529581 115.080185
32918 14 14 25
0.719413 0.463036 -0.517729 106.510292
4442 14 15 3
0.619154 0.267437 0.738327 82.724068
5738 14 15 4
0.871553 0.221955 0.437185 95.172012
10922 14 15 8
0.979541 -0.038862 -0.197455 92.081284
22586 14 15 17
0.940198 -0.233737 0.247778 150.772797
23882 14 15 18
0.873868 -0.403902 -0.270587 150.413269
25178 14 15 19
0.767619 -0.446372 -0.459906 147.007950
26474 14 15 20
0.720789 -0.468612 -0.510751 141.381226
27770 14 15 21
0.710842 -0.485989 -0.508446 134.563217
29066 14 15 22
0.727205 -0.486245 -0.484498 127.479164
30362 14 15 23
0.776949 -0.439321 -0.450940 120.837334
31658 14 15 24
0.870850 -0.280747 -0.403486 115.200142
32954 14 15 25
0.941816 0.097229 -0.321760 110.934181
34250 14 15 26
0.784370 0.572565 -0.238608 107.765480
35546 14 15 27
0.523246 0.808020 -0.270771 104.201370
36842 14 15 28
0.340252 0.849252 -0.403732 97.676178
4478 14 16 3
0.702298 0.073694 0.708059 86.688354
10958 14 16 8
0.944202 -0.329061 0.014206 90.177620
34286 14 16 26
0.923034 0.205518 0.325224 112.211617
35582 14 16 27
0.732299 0.670040 0.121588 114.941628
36878 14 16 28
0.471168 0.821243 -0.321810 113.518982
38174 14 16 29
0.266605 0.710625 -0.651102 104.193260
4514 14 17 3
0.737896 -0.218459 0.638580 85.134270
5810 14 17 4
0.938978 -0.249859 0.236413 95.137238
14882 14 17 11
0.440928 0.034638 0.896874 108.085327
16178 14 17 12
0.285028 0.174806 0.942444 120.232277
17474 14 17 13
0.136688 0.314936 0.939218 132.345078
18770 14 17 14
-0.031766 0.491864 0.870092 142.560471
20066 14 17 15
-0.271524 0.715208 0.644012 149.227615
21362 14 17 16
-0.583855 0.811746 0.013497 151.505844
36914 14 17 28
0.750333 0.624127 -0.217867 122.509987
38210 14 17 29
0.328600 0.438195 -0.836664 115.232155
39506 14 17 30
0.151626 0.282597 -0.947179 97.243134
40802 14 17 31
