2.000000
36 36 36
13.440544 -0.287039 3.367526
-22.559456 -36.287037 -32.632473
114.921652 3682.694708 1014.302931
16496 8 26 12
0.985054 0.169319 -0.031613 75.815804
17792 8 26 13
0.914892 0.210440 -0.344510 70.496429
17828 8 27 13
0.931199 -0.206725 -0.300223 70.614479
15201 9 26 11
0.936116 0.108877 0.334413 98.483124
16497 9 26 12
0.971869 0.223345 -0.074755 102.062973
17793 9 26 13
0.846097 0.274877 -0.456686 94.856682
15237 9 27 11
0.809276 -0.437484 0.392020 93.681633
16533 9 27 12
0.911506 -0.410503 0.025382 99.611069
17829 9 27 13
0.867350 -0.298319 -0.398384 94.752914
19125 9 27 14
0.723115 -0.177490 -0.667534 80.140968
16569 9 28 12
0.647244 -0.757124 0.088537 82.896660
17865 9 28 13
0.670899 -0.698352 -0.249396 80.685059
19161 9 28 14
0.626747 -0.564302 -0.537356 69.577057
15166 10 25 11
0.697357 0.695679 0.172406 109.541664
13906 10 26 10
0.714276 -0.073435 0.696001 106.519119
15202 10 26 11
0.894412 0.083697 0.439342 119.725243
16498 10 26 12
0.939037 0.304167 -0.160289 122.597260
17794 10 26 13
0.709382 0.349505 -0.612065 114.321884
15238 10 27 11
0.586856 -0.659868 0.469227 112.321548
16534 10 27 12
0.729419 -0.683195 0.034539 118.478523
17830 10 27 13
0.704361 -0.474316 -0.528110 113.355774
16570 10 28 12
0.377486 -0.918970 0.114013 97.943016
17866 10 28 13
0.429454 -0.865569 -0.257603 96.122513
19162 10 28 14
0.430559 -0.687472 -0.584808 84.328491
27947 11 20 21
0.953843 -0.252644 0.162343 96.524094
29243 11 20 22
0.995742 -0.070347 0.059579 98.517670
30539 11 20 23
0.986488 0.156558 -0.048288 98.566414
31835 11 20 24
0.938550 0.329790 -0.101798 97.411423
34427 11 20 26
0.906183 0.349086 -0.238685 92.492104
29279 11 21 22
0.724857 -0.658190 0.203391 91.060501
30575 11 21 23
0.782061 -0.610130 0.126973 94.241707
31871 11 21 24
0.847212 -0.529621 0.041630 95.685440
33167 11 21 25
0.896215 -0.436609 -0.078559 95.477707
34463 11 21 26
0.893445 -0.361161 -0.267054 92.794151
35759 11 21 27
0.817656 -0.313177 -0.483072 86.118340
31907 11 22 24
0.546042 -0.831888 0.098995 81.397667
33203 11 22 25
0.572395 -0.819975 -0.002425 82.587845
37091 11 22 28
0.529246 -0.624549 -0.574315 64.125557
13871 11 25 10
0.592213 0.589138 0.549728 116.463638
13907 11 26 10
0.468354 -0.277560 0.838812 120.100830
15203 11 26 11
0.666081 -0.109386 0.737815 131.442429
19091 11 26 14
0.363150 0.308742 -0.879091 108.399323
13943 11 27 10
0.179976 -0.747762 0.639109 106.682716
15239 11 27 11
0.144724 -0.865013 0.480423 121.055138
19127 11 27 14
0.314956 -0.362849 -0.877008 108.207169
20423 11 27 15
0.291442 -0.195899 -0.936315 84.878471
19163 11 28 14
0.188961 -0.797461 -0.573018 92.834900
20459 11 28 15
0.217121 -0.580298 -0.784928 73.725830
19199 11 29 14
0.108720 -0.927777 -0.356944 67.921349
24024 12 19 18
0.980412 -0.176890 -0.086620 117.438515
25320 12 19 19
0.987618 -0.095221 -0.124672 115.279938
26616 12 19 20
0.975691 0.110924 -0.189007 112.922829
27912 12 19 21
0.850292 0.432205 -0.300337 109.895676
25356 12 20 19
0.789226 -0.613325 0.030891 108.142189
26652 12 20 20
0.789282 -0.609466 0.074733 109.132126
27948 12 20 21
0.857866 -0.512112 0.042504 110.031342
29244 12 20 22
0.975380 -0.189805 -0.112285 109.843597
30540 12 20 23
0.920593 0.321014 -0.222393 108.609734
31836 12 20 24
0.796519 0.586125 -0.148376 107.244202
34428 12 20 26
0.873179 0.433080 -0.223609 104.966309
27984 12 21 21
0.497284 -0.841144 0.212570 98.829147
29280 12 21 22
0.509327 -0.841881 0.178387 102.371178
30576 12 21 23
